GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,visa_holder_tracker,VisaHolderTrackerApplication,5,3,0,0,2,1,1,1,1,1
,visa_holder_tracker.dto,MovementRequest,0,3,0,0,0,1,0,1,0,1
,visa_holder_tracker.dto,VisaHolderRequest,0,3,0,0,0,1,0,1,0,1
,visa_holder_tracker.dto,MovementResponse,0,28,0,0,0,3,0,2,0,2
,visa_holder_tracker.service,MovementService,0,49,0,2,0,10,0,4,0,3
,visa_holder_tracker.service,VisaHolderService,8,173,0,0,2,39,1,14,1,14
,visa_holder_tracker.exception,GlobalExceptionHandler,8,10,0,0,1,2,1,2,1,2
,visa_holder_tracker.exception,ResourceNotFoundException,4,0,0,0,1,0,1,0,1,0
,visa_holder_tracker.jwt_utils,JwtFilter,7,54,2,4,4,14,2,3,0,2
,visa_holder_tracker.jwt_utils,GenerateJWTToken,0,66,0,0,0,23,0,4,0,4
,visa_holder_tracker.controller,ReportController,0,34,0,0,0,7,0,3,0,3
,visa_holder_tracker.controller,MovementController,0,16,0,0,0,3,0,2,0,2
,visa_holder_tracker.controller,AuthenticationController.LoginRequest,0,9,0,0,0,1,0,1,0,1
,visa_holder_tracker.controller,AuthenticationController,0,30,0,0,0,7,0,2,0,2
,visa_holder_tracker.controller,VisaHolderController,0,61,0,0,0,17,0,8,0,8
,visa_holder_tracker.config,CustomUserDetailsService,0,68,0,0,0,13,0,5,0,5
,visa_holder_tracker.entity,Role,0,15,0,0,0,3,0,1,0,1
,visa_holder_tracker.entity,VisaStatus,0,15,0,0,0,3,0,1,0,1
,visa_holder_tracker.entity,Movement,0,3,0,0,0,1,0,1,0,1
,visa_holder_tracker.entity,MovementType,0,15,0,0,0,3,0,1,0,1
,visa_holder_tracker.authentication,LoginSecurityConfig,0,98,0,0,0,23,0,9,0,9
